system:index,B11,B12,B2,B3,B4,B8,LST,MNDWI,MNDWI2,NBR,NBR2,NDMI,NDWI,TPI,dryness,elevation,elevation_class,greeness,latitude,longitude,slope,wetness,.geo
474,0.27180000000000004,0.2283,0.07265,0.09915,0.12935000000000002,0.23455,48.272018900000035,-0.4654266,-0.39441136,0.013503294,0.0869826,-0.073565714,-0.40575367,1.4318181818181817,0.8707943969461391,4,4,0.12920560305386083,-7.289559036044682,112.7945331992006,0.65848356,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7945331992006,-7.289559036044682]}"
475,0.33065,0.3107,0.11655000000000001,0.13735,0.1608,0.21175,48.54204248000002,-0.4130342,-0.3868988,-0.18939611,0.03110626,-0.21921091,-0.21311945,1.6280991735537191,0.6880323949229461,5,4,0.3113332096726907,-7.284708133510437,112.79668915588249,3.9840896,6.343954043632879E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79668915588249,-7.284708133510437]}"
476,0.1605,0.10555,0.035750000000000004,0.06945,0.0605,0.2806,44.44725452,-0.39595565,-0.20628572,0.45332125,0.20654012,0.27227387,-0.60319954,1.487603305785124,0.5049709472989007,5,4,0.4711584916259352,-7.282013187658078,112.79399421003014,1.8694007,0.023870561075164106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79399421003014,-7.282013187658078]}"
477,0.20825000000000002,0.16775,0.08145,0.1054,0.11880000000000002,0.20415,48.98980310000002,-0.32791328,-0.22826286,0.097875774,0.10771277,-0.009941804,-0.31901148,1.4793388429752068,0.814240917773912,4,4,0.17438503225941213,-7.279857230976191,112.79776713422343,1.0435973,0.011374049966675874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79776713422343,-7.279857230976191]}"
478,0.31635,0.2743,0.056,0.0933,0.164,0.24910000000000002,46.993679420000035,-0.5444892,-0.49238303,-0.048146732,0.07119276,-0.11893182,-0.45502338,2.1983471074380163,0.5921373293564876,5,4,0.40758431245201615,-7.278240263464776,112.79237724251871,2.3640463,2.783581914963374E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79237724251871,-7.278240263464776]}"
479,0.19090000000000001,0.12835000000000002,0.03370000000000001,0.064,0.0673,0.23305,48.84966428000001,-0.49784228,-0.3345464,0.2897067,0.19592796,0.099422105,-0.5690961,2.1515151515151514,0.8804714980354187,4,4,0.11939679035090418,-7.276084306782889,112.79561117754155,1.0385418,1.317116136771428E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79561117754155,-7.276084306782889]}"
480,0.23870000000000002,0.20185000000000003,0.0738,0.0993,0.1092,0.23470000000000002,48.21733058000001,-0.41242602,-0.34052798,0.07524911,0.08364544,-0.008449514,-0.40538922,2.6859504132231407,0.7319768773968424,5,4,0.26681235086780464,-7.277701274294304,112.79399421003014,1.0435942,0.0012107717353528448,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79399421003014,-7.277701274294304]}"
481,0.2411,0.20195000000000002,0.09140000000000001,0.11705000000000002,0.123,0.2227,46.27931324000002,-0.34636325,-0.2661442,0.04886377,0.08836474,-0.039672274,-0.31096396,2.239669421487603,0.4614586309203808,5,4,0.5301371801106666,-7.280396220146662,112.79291623168919,1.402263,0.008404188968952543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79291623168919,-7.280396220146662]}"
482,0.26275000000000004,0.21565,0.09255000000000001,0.10845,0.12440000000000001,0.26985000000000003,49.60846472000003,-0.4156789,-0.33076212,0.11163749,0.09845318,0.01333083,-0.42664552,2.414141414141414,0.8198790064077723,5,4,0.1800760381312719,-7.276084306782889,112.79399421003014,1.3909631,4.495546095567152E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79399421003014,-7.276084306782889]}"
483,0.29425,0.2713,0.11320000000000001,0.13140000000000002,0.16094999999999998,0.1992,50.897058259999994,-0.38259134,-0.34740502,-0.15324123,0.040579967,-0.19262336,-0.20508167,2.6545454545454548,0.9309445192378559,5,4,0.0690554807621442,-7.288481057703739,112.7983061233939,1.0385475,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7983061233939,-7.288481057703739]}"
484,0.21155000000000002,0.14195000000000002,0.0279,0.05745,0.062150000000000004,0.26165000000000005,46.85354060000003,-0.57286245,-0.42377132,0.29658076,0.19688825,0.105874896,-0.63992476,1.4297520661157024,0.7494312093832269,4,4,0.2505670268139989,-7.287403079362795,112.79668915588249,2.3363137,1.7638027743373508E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79668915588249,-7.287403079362795]}"
485,0.1583,0.10115,0.02855,0.057300000000000004,0.05025,0.2494,46.48439444000002,-0.4684601,-0.27674344,0.42290685,0.22027366,0.22344862,-0.626345,1.4132231404958677,0.6485332248680094,4,4,0.3514410981787572,-7.287403079362795,112.79345522085966,1.9260039,2.5676953233564724E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79345522085966,-7.287403079362795]}"
486,0.201,0.1902,0.0684,0.08940000000000001,0.08410000000000001,0.32170000000000004,48.08402780000006,-0.38429752,-0.36051503,0.25688612,0.027607363,0.2309164,-0.5650693,1.65625,0.7946084800813584,5,4,0.2053915199186415,-7.275545317612417,112.79022128583684,1.4768823,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79022128583684,-7.275545317612417]}"
487,0.2883,0.21085,0.07100000000000001,0.0963,0.1233,0.31475,46.91848298000002,-0.49921995,-0.3729448,0.19767885,0.15516378,0.043860376,-0.53144383,1.1735537190082646,0.6371766944818336,5,4,0.3486550133846374,-7.283091165999021,112.79507218837108,1.9122795,0.01416829213352902,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79507218837108,-7.283091165999021]}"
488,0.38445,0.32080000000000003,0.0663,0.10815,0.20015,0.2686,49.68707918000001,-0.56090134,-0.49574542,-0.08856464,0.090251684,-0.17739837,-0.42587924,2.0681818181818183,0.834388507837081,5,4,0.16547978054924192,-7.280935209317135,112.80046208007579,1.3909631,1.317116136771429E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.80046208007579,-7.280935209317135]}"
489,0.18480000000000002,0.1003,0.028200000000000003,0.05995,0.044550000000000006,0.3406,45.19921892000002,-0.51011235,-0.25179407,0.54502153,0.29638723,0.29653597,-0.7006616,1.8409090909090908,0.4561890328790651,4,4,0.5423381918043633,-7.283091165999021,112.79022128583684,1.0436037,0.0014727753165716885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79022128583684,-7.283091165999021]}"
490,0.27665,0.2142,0.0363,0.0779,0.11150000000000002,0.32110000000000005,45.585455180000054,-0.56056976,-0.466621,0.1997011,0.12722827,0.07436219,-0.60952383,1.9586776859504131,0.537712056834454,5,4,0.44411174047810026,-7.280935209317135,112.79399421003014,1.3909631,0.01817620268744571,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79399421003014,-7.280935209317135]}"
491,0.1895,0.096,0.0223,0.0692,0.0396,0.33230000000000004,44.56346719999999,-0.4650174,-0.1622276,0.5517161,0.32749563,0.27366808,-0.65529263,2.0113636363636367,0.4651811653553397,4,4,0.533625622067821,-7.283630155169493,112.79022128583684,2.5132551,0.0011932125768392182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79022128583684,-7.283630155169493]}"
492,0.3382,0.34985,0.1494,0.16755,0.19640000000000002,0.21695,52.24034012000004,-0.33741966,-0.3523386,-0.23447424,-0.016931908,-0.21840943,-0.12847854,1.3611111111111112,0.9957592593061507,4,4,0.004240740693849398,-7.289559036044682,112.79992309090532,0.92740995,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79992309090532,-7.289559036044682]}"
493,0.23425,0.17170000000000002,0.044700000000000004,0.07650000000000001,0.0726,0.34630000000000005,46.89113882000004,-0.5076428,-0.38356164,0.33706564,0.15408301,0.19300663,-0.6381268,2.603305785123967,0.7016106084157051,5,4,0.2977590589490537,-7.277701274294304,112.79345522085966,0.6584749,6.303326352411318E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79345522085966,-7.277701274294304]}"
494,0.18535000000000001,0.10995,0.016550000000000002,0.04535,0.03165,0.33765,44.327623819999985,-0.6068487,-0.4159691,0.5087131,0.25533357,0.2912046,-0.7631854,1.7438016528925622,0.5171135186858374,5,4,0.46115643113432647,-7.281474198487606,112.79399421003014,2.8028553,0.02173005017983616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79399421003014,-7.281474198487606]}"
495,0.2549,0.22855000000000003,0.14255,0.15940000000000001,0.17595,0.21875,49.36236728000006,-0.2305093,-0.17824462,-0.021909233,0.054504085,-0.076322176,-0.1569483,1.75,0.8369222953964628,5,4,0.16307770460353735,-7.275006328441945,112.79022128583684,1.0435891,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79022128583684,-7.275006328441945]}"
496,0.29745,0.2703,0.11850000000000001,0.1417,0.15265,0.25645,47.4004238,-0.35466242,-0.31213593,-0.026293308,0.047820345,-0.07402058,-0.28820795,3.0227272727272725,0.8094919830547905,5,4,0.190485113320891,-7.277701274294304,112.80046208007579,0.6584749,2.2903624318468438E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.80046208007579,-7.277701274294304]}"
497,0.18925000000000003,0.14550000000000002,0.054200000000000005,0.07685,0.0828,0.21845,46.82619643999999,-0.42239758,-0.30874747,0.20043962,0.13069455,0.07162129,-0.47951236,1.9090909090909092,0.5631391727107822,5,4,0.43674110379846226,-7.278240263464776,112.79183825334825,1.925968,1.1972349075563049E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79183825334825,-7.278240263464776]}"
498,0.2675,0.21975,0.1031,0.13535000000000003,0.16765000000000002,0.28785,46.22120690000003,-0.32803774,-0.23767953,0.13416076,0.09799898,0.036643557,-0.3603497,1.4132231404958677,0.6697829436572612,4,4,0.32993700461378195,-7.277701274294304,112.79291623168919,2.0864966,2.8005172895690034E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79291623168919,-7.277701274294304]}"
499,0.18325000000000002,0.13245,0.043000000000000003,0.06715,0.07245,0.2545,43.20309524000004,-0.46365815,-0.3271543,0.31541544,0.16091226,0.16276413,-0.5824654,0.8888888888888888,0.4308464726860237,4,4,0.5685464768753564,-7.279857230976191,112.7907602750073,1.0435973,6.070504386198784E-4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7907602750073,-7.279857230976191]}"
500,0.20690000000000003,0.1534,0.04665,0.07575000000000001,0.08935,0.22715000000000002,47.99515928000005,-0.46400142,-0.33886102,0.19379845,0.14848737,0.04665361,-0.49983492,1.9555555555555557,0.5500371666150049,4,4,0.4499628333849949,-7.288481057703739,112.7907602750073,1.46737,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.7907602750073,-7.288481057703739]}"
501,0.35675,0.26880000000000004,0.05650000000000001,0.097,0.17435,0.31395,48.06010165999999,-0.5724518,-0.46965554,0.07747748,0.14059627,-0.063813925,-0.5279231,0.00826446280991755,0.6907506742628678,4,4,0.2951063377204779,-7.282552176828549,112.79561117754155,0.6584782,0.014142988016654257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79561117754155,-7.282552176828549]}"
502,0.22990000000000002,0.19675,0.0849,0.1165,0.13675,0.24320000000000003,47.85160244000002,-0.32736722,-0.25618514,0.10558018,0.07769835,0.02811245,-0.35223797,1.6859504132231407,0.7853498721385382,4,4,0.20148774965796915,-7.279318241805719,112.79722814505297,1.0385433,0.013162378203492486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79722814505297,-7.279318241805719]}"
503,0.22825,0.15925,0.03055,0.06755,0.055150000000000005,0.27880000000000005,49.454653819999976,-0.5432725,-0.40432099,0.27291405,0.17806451,0.09969431,-0.6099321,2.5757575757575757,0.8052409960380714,5,4,0.19475900396192863,-7.28902004687421,112.79399421003014,0.65848315,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79399421003014,-7.28902004687421]}"
504,0.19295,0.1386,0.044,0.0714,0.0742,0.2494,44.13621469999998,-0.45980707,-0.32,0.28556702,0.163927,0.12761389,-0.55486286,0.8016528925619837,0.5349187486226799,4,4,0.46134879347247604,-7.285247122680908,112.79345522085966,2.718235,0.003732457904844228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79345522085966,-7.285247122680908]}"
505,0.23510000000000003,0.20215,0.0796,0.1076,0.13025,0.22055000000000002,48.05326562000005,-0.37204552,-0.30524617,0.04352969,0.07535735,-0.031932402,-0.34420234,1.43801652892562,0.7776400286528643,4,4,0.20607199266290394,-7.279857230976191,112.79722814505297,1.0385433,0.016287978684231815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79722814505297,-7.279857230976191]}"
506,0.22955000000000003,0.17920000000000003,0.1274,0.15425,0.1655,0.26545,48.418993760000035,-0.19619593,-0.07482381,0.19397278,0.12318043,0.072525255,-0.26495117,1.7024793388429753,0.8186090602365292,4,4,0.1721847711828168,-7.279318241805719,112.79776713422343,1.0435973,0.009206168580653807,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79776713422343,-7.279318241805719]}"
507,0.21175,0.1542,0.0398,0.0681,0.07114999999999999,0.24535,47.18167052000001,-0.51331073,-0.38731444,0.22813165,0.15726192,0.07350689,-0.56548095,1.5867768595041323,0.6929796902898615,4,4,0.30701774201481524,-7.287942068533266,112.79345522085966,1.043613,2.567695323356472E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79345522085966,-7.287942068533266]}"
508,0.2084,0.1421,0.04295,0.067,0.0749,0.2436,47.82425827999998,-0.513435,-0.3591583,0.2631579,0.18915835,0.077876106,-0.56857693,0.6868686868686869,0.7541290471303219,4,4,0.24587008530815094,-7.276084306782889,112.79183825334825,2.8191977,8.675615272147133E-7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79183825334825,-7.276084306782889]}"
509,0.28175,0.21985000000000002,0.06565,0.10385,0.1385,0.30400000000000005,45.917003120000004,-0.46135893,-0.3583565,0.16063759,0.12340511,0.03798549,-0.49074414,1.2892561983471076,0.5146863412275544,4,4,0.4742674334913661,-7.280396220146662,112.79345522085966,1.4768956,0.011046225281079545,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79345522085966,-7.280396220146662]}"
510,0.24670000000000003,0.17520000000000002,0.0965,0.12275,0.13465,0.3157,47.567906780000044,-0.33549872,-0.17603625,0.28620902,0.16947144,0.12268848,-0.44007298,2.041322314049587,0.8036663302716202,4,4,0.1871245543065053,-7.278779252635247,112.79722814505297,1.3909631,0.009209115421874345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79722814505297,-7.278779252635247]}"
511,0.23205000000000003,0.16555,0.045700000000000005,0.08245,0.0781,0.29015,45.53076686000003,-0.47567567,-0.33508065,0.2734255,0.16725352,0.11126006,-0.55743426,0.2148760330578514,0.6370588139498792,4,4,0.35255150580788663,-7.283630155169493,112.79507218837108,0.46750748,0.010389680242234169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.79507218837108,-7.283630155169493]}"
